Name,Price,Rating,Review Count,City,Country,Latitude,Longitude,Categories
Muelle 17,$$,4.5,14,Monterrey,MX,25.6774004041068,-100.35838310773,['seafood']
El Paisa de Tampico,$,5.0,5,Monterrey,MX,25.6705474546985,-100.321137942374,['mexican']
El Papalote,$$,5.0,7,Monterrey,MX,25.6735753030645,-100.366274155676,['mexican']
Crêpe de Paris,$$,4.5,28,Monterrey,MX,25.6867043,-100.3762619,['french']
Piacere,$$,5.0,2,Monterrey,MX,25.70532,-100.36915,['italian']
El Varietal Restaurant,$$$$,5.0,3,Monterrey,MX,25.6935,-100.38,['restaurants']
Los Arcos,$$,4.0,25,Monterrey,MX,25.6686470382821,-100.347018907889,['seafood']
Kod,$$,5.0,1,Monterrey,MX,25.68826,-100.346609,['steak']
Oriental Grill,$$,4.0,7,Monterrey,MX,25.6747578365459,-100.363612770033,['panasian']
Palax,$$,3.5,17,Monterrey,MX,25.6732571624774,-100.350737938653,"['cafeteria', 'mexican']"
Asador las Diligencias,$,5.0,1,Monterrey,MX,25.6772110768313,-100.322697877151,['restaurants']
Ciao Italia,$$,4.5,7,Monterrey,MX,25.6942851202634,-100.357893882154,"['pizza', 'italian']"
La Escondida Restaurant,$$$,4.5,12,Monterrey,MX,25.6738239132672,-100.366748921078,['mexican']
Merendero Tino,$$,4.5,9,Monterrey,MX,25.7000599,-100.3637619,['mexican']
Las Tapas de Arriba,$$,4.0,10,Monterrey,MX,25.692296,-100.377521,['tapasmallplates']
La Jaibita,$$,4.5,4,San Nicolás de Los Garza,MX,25.7616901,-100.2951813,['seafood']
Black Friday,$$,3.5,2,San Nicolás de los Garza,MX,25.7520011690734,-100.308476909995,"['tacos', 'burgers', 'chicken_wings']"
Mr. Brown,$$,4.5,3,Monterrey,MX,25.7375829809927,-100.314824357629,['burgers']
Tacos Popo's,$,4.5,6,Anáhuac,MX,25.7422408543649,-100.312093533576,['tacos']
La Postreria 77,$$,4.5,2,San Nicolás de los Garza,MX,25.768964,-100.276876,['cafeteria']
Todo Empanadas,$$,5.0,1,Roble Norte,MX,25.74463,-100.30757,"['salad', 'argentine']"
El Gran Pastor,$$$,4.0,32,Monterrey,MX,25.6770115439918,-100.352538532826,['mexican']
Las Golonas,$,4.5,3,Nuevo León,MX,25.7167923854547,-100.232675982526,['burgers']
Tacos Maye,$,5.0,1,San Nicolás de los Garza,MX,25.7599384081136,-100.275223230526,['mexican']
IL Castello di Frabo,$$$,4.5,20,Monterrey,MX,25.78787,-100.138732,"['italian', 'pizza', 'steak']"
Los Fresnos,$$$,4.5,15,Apodaca,MX,25.78902,-100.143554,['mexican']
Korean Garden,$$,4.5,2,Ciudad Apodaca,MX,25.7879690948558,-100.145845860243,['korean']
El Papalote Taco & Grill,$$,4.0,14,Monterrey,MX,25.7866392618517,-100.136439034771,['tex-mex']
La Mansion,$$$,4.0,7,Nuevo León,MX,25.7746897663734,-100.111751943702,['steak']
Horno 400,$$,4.0,4,Ciudad Apodaca,MX,25.78794735906,-100.14622438699,['pizza']
Sierra Madre Brewing Co.,$$,3.0,7,Valles de Linda Vista,MX,25.6928597264223,-100.241719804973,"['mexican', 'breweries']"
Los Magueyes,$,5.0,1,Sanitycity,MX,25.6837054217404,-100.253553571773,"['tacos', 'bbq']"
KOTO Sushi Bar,$$,5.0,1,Adolfo Prieto,MX,25.69837,-100.2548828,['japanese']
Los Tacones de Mamá,$$,5.0,1,Guadalupe,MX,25.6930296598628,-100.243646912277,['tacos']
El Rincon del Taco,$$,4.0,1,Monterrey,MX,25.693057,-100.190375,['restaurants']
La Divina Linda Vista,$,4.0,3,Guadalupe,MX,25.6894108499513,-100.256210141147,"['divebars', 'northernmexican']"
Trece Lunas,$$,4.0,1,Guadalupe,MX,25.7047078,-100.2309658,"['international', 'cafeteria', 'creperies']"
Los Generales,$$,2.5,6,Guadalupe,MX,25.6939982760462,-100.241076685488,['buffets']
Las Alitas,$$,2.5,3,Nuevo León,MX,25.7888737543797,-100.14454821153,"['burgers', 'tradamerican']"
Carl's Jr.,$,3.0,2,Rincón de Guadalupe,MX,25.6524422180193,-100.185868106782,['tradamerican']
Resturant Garcia,$$,4.0,1,Cienega de Flores,MX,25.874942,-100.227773,['mexican']
Fonda Oaxaqueña el Tule,$,4.0,1,San Nicolás de Los Garza,MX,25.762668,-100.281836,"['comfortfood', 'mexican']"
La Reynita,$$,4.5,6,San Pedro Garza García,MX,25.651331,-100.334593,['mexican']
La Embajada,$$$,4.0,58,Monterrey,MX,25.6491304328498,-100.335586947083,['mexican']
Lázaro & Diego,$$,4.5,19,San Pedro Garza García,MX,25.650509,-100.333172,"['international', 'breakfast_brunch']"
Sonora Grill Prime,$$$$,4.0,26,San Pedro Garza García,MX,25.64996,-100.333284,"['mexican', 'tradamerican']"
Casa Carlina,$$,4.0,3,Monterrey,MX,25.6427873467327,-100.276819842987,"['cafeteria', 'breakfast_brunch']"
Ciao Italia Barrio Antiguo,$$,4.5,4,Monterrey,MX,25.6662782079777,-100.305818313769,['italian']
Muncher House,$$,4.0,22,Monterrey,MX,25.6532211133616,-100.294239219188,"['hotdogs', 'bars']"
La Nacional,$$$,4.0,6,Monterrey,MX,25.682615,-100.302961,['northernmexican']
Los Bisquets Bisquets Obregón,$$,2.5,7,Guadalupe,MX,25.687512687593,-100.260977335274,"['mexican', 'sandwiches']"
Indio Azteca,$$,4.5,4,Monterrey,MX,25.683149,-100.303585,['mexican']
Tacos El Primo,$$,4.5,5,Monterrey,MX,25.6783616408933,-100.330585201706,['tacos']
El Compirri,$,4.0,1,Lomas de Tolteca,MX,25.6616033700933,-100.238424316049,"['foodtrucks', 'burgers']"
Che Pebeta,$$,5.0,1,Monterrey,MX,25.5750606068733,-100.248931191263,"['steak', 'argentine']"
La Artesanal,$$$,4.0,4,Monterrey,MX,25.5799785575264,-100.246313599174,['mexican']
La Pasadita,$$,4.0,2,Residencial Azteca,MX,25.6832602751131,-100.230613388121,['bbq']
La Caldera 1900,$$,4.5,7,Monterrey,MX,25.6084659224926,-100.268889179098,['mexican']
McDonald's,$$,5.0,1,Guadalupe,MX,25.6560090854429,-100.183020941913,"['hotdogs', 'burgers']"
Teo Burger,$,5.0,2,Paraíso,MX,25.6781597,-100.2694016,['burgers']
El Capi,$,4.0,1,San Nicolás de los Garza,MX,25.7088112828991,-100.263143656964,['seafood']
Panem,$$$$,4.0,1,Monterrey,MX,25.59016,-100.2598299,"['breakfast_brunch', 'burgers', 'sandwiches']"
Mochomos,$$$,4.0,18,San Pedro Garza García,MX,25.6506381876846,-100.333686210792,['mexican']
VeganMunch,$,4.0,1,Monterrey,MX,25.681152,-100.3260738,"['burgers', 'vegetarian', 'mexican']"
Spike's,$$,4.0,6,Monterrey,MX,25.743877,-100.363039,"['burgers', 'hotdogs']"
Frida Chilaquiles,$,4.0,54,Monterrey,MX,25.6561642423217,-100.363628753898,['mexican']
Nómada XXI,$$$,5.0,7,Monterrey,MX,25.678885939153,-100.352352149785,"['foodtrucks', 'burgers']"
Mr. Brown,$$,4.5,36,Monterrey,MX,25.6868706,-100.3766174,"['hotdogs', 'salad', 'burgers']"
Taqueria y Carniceria la Mexicana,$$,4.5,18,Monterrey,MX,25.677434,-100.313276,['tacos']
Tenerias,$$,3.5,15,Monterrey,MX,25.6705825920916,-100.305576882989,"['bars', 'mexican']"
Los Arbolitos de Cajeme,$$$,4.0,28,Los Amates,MX,25.6490470119662,-100.335100469783,['seafood']
Olive Garden,$$,2.0,1,San Nicolás de los Garza,MX,25.744574,-100.312224,['italian']
Ocho y Ocho,$,4.5,5,Monterrey,MX,25.6841051,-100.3315054,"['vegetarian', 'vegan']"
Noveno Elefante,$,4.0,11,Monterrey,MX,25.685931288177,-100.324363515042,"['vegan', 'vegetarian']"
La Buena Barra,$$$,4.5,37,San Pedro Garza García,MX,25.6577940750199,-100.353454589844,['mexican']
Cumbre Real,$$$$,5.0,4,San Pedro Garza García,MX,25.64163,-100.32517,"['mexican', 'seafood', 'breakfast_brunch']"
Taqueria Juarez,$$,4.0,28,Monterrey,MX,25.676277,-100.312166,['mexican']
El Rey del Cabrito,$$$,4.0,49,Monterrey,MX,25.6637128197667,-100.309113808376,"['steak', 'mexican']"
Gran Invernadero,$$,4.5,4,Del Carmen,MX,25.6701898522166,-100.354532399069,['mexican']
Gallo 71,$$$,4.0,35,Del Valle Sector Fátima,MX,25.651698,-100.373573,['mexican']
Curry Sultan,$$,3.5,22,San Pedro,MX,25.6629791,-100.40345,"['indpak', 'vegetarian']"
El Gaucho,$$$,4.5,29,Monterrey,MX,25.6419764,-100.2912656,['argentine']
San Juan Grill,$$$,3.0,5,Monterrey,MX,25.6528971482163,-100.27631926104,['mexican']
Botanero Moritas,$$$,4.0,25,San Pedro Garza García,MX,25.6656469,-100.4014607,"['bars', 'mexican']"
Galo Kitchen,$$,4.5,6,Santa Catarina,MX,25.6582413666326,-100.439407887433,['diners']
Koli,$$$$,5.0,3,Ciudad Santa Catarina,MX,25.6580079463644,-100.439765475038,['mexican']
Cien 28,$$$,4.5,5,Monterrey,MX,25.6596593310739,-100.416489691758,"['comfortfood', 'mexican']"
Black Market,$$$,4.0,11,Monterrey,MX,25.6602735334972,-100.364984437823,"['mexican', 'seafoodmarkets']"
Crêpe de Paris,$$,4.5,6,Residencial Chipinque,MX,25.6485870334554,-100.360511219996,"['creperies', 'french']"
El 32,$$,4.0,1,San Pedro Garza Garcia,MX,25.6603700846536,-100.416513770392,"['breakfast_brunch', 'tradamerican', 'mexican']"
La Barda,$,4.0,3,Santa Catarina,MX,25.6599753699676,-100.416283272207,['mexican']
Taquería Orinoco,$,4.5,25,Monterrey,MX,25.75448,-100.40782,['tacos']
Huecani,$$,4.5,12,San Pedro Garza García,MX,25.6557387599271,-100.386177335938,['mexican']
Ribite Burgers,$$,4.0,1,Zona Valle Poniente,MX,25.6580675175211,-100.439365918179,['burgers']
Choice Grill House,$$$,4.0,3,San Pedro Garza García,MX,25.6349738,-100.3636592,"['seafood', 'steak']"
Panem Bakery & Bistro,$$,3.0,10,San Pedro Garza García,MX,25.6599094959451,-100.416572624647,['bakeries']
Casagrande,$$,4.0,18,Nuevo León,MX,25.653814,-100.381892,['northernmexican']
Los Curricanes,$$$,4.0,5,San Pedro Garza García,MX,25.6574126858042,-100.389251022677,"['seafood', 'mexican']"
Pacifica,$$$,4.0,5,Monterrey,MX,25.6744472028989,-100.363100891794,['seafood']
Fonda San Francisco,$$,4.0,9,San Pedro Garza García,MX,25.6609035634041,-100.400966894968,['mexican']
Amalia,$$$,4.0,22,San Pedro Garza García,MX,25.651136,-100.368034,"['international', 'steak', 'mexican']"
Muelle de al Lado,$$,4.0,23,San Pedro Garza García,MX,25.6553613192488,-100.361250563951,['seafood']
El Granero Grill,$$$,4.0,18,San Pedro Garza García,MX,25.6553860124752,-100.3622935969,['restaurants']
Picanha Brasileira,$$,4.0,3,Monterrey,MX,25.6268997,-100.2760468,['brazilian']
La Petite Bretonne,$,4.0,2,Monterrey,MX,25.6409685701142,-100.281557617793,['french']
Las Brazas,$$,4.0,6,Monterrey,MX,25.654562,-100.2939835,"['northernmexican', 'steak']"
Capuleto,$$,4.5,4,Monterrey,MX,25.6526153952435,-100.294380759338,['italian']
Kasumi,$$$,3.5,7,Monterrey,MX,25.6377584330736,-100.316561678877,['japanese']
Sushi Itto,$$,4.0,4,Monterrey,MX,25.6326810741849,-100.281137488782,['japanese']
Peace & Love,$$,4.5,7,Monterrey,MX,25.637402,-100.284784,"['cafeteria', 'sandwiches', 'juicebars']"
The Food Box,$$,3.5,30,Monterrey,MX,25.653694,-100.349235,"['burgers', 'tradamerican']"
Fidencio Botanero,$$,3.0,6,San Pedro Garza García,MX,25.648443,-100.333764,['mexican']
Colmillo,$$$,4.0,8,Garza García,MX,25.6579090898323,-100.353428656016,['mexican']
Cafeterias Tok's,$$,5.0,2,Rincón del Contry,MX,25.6619341016706,-100.260615409262,"['cafeteria', 'mexican']"
Teo Burger,$,3.5,2,Guadalupe,MX,25.6766538388906,-100.257411003113,['burgers']
YAMA-TO,$$$,4.5,15,Monterrey,MX,25.6511593,-100.2848041,['japanese']
Los Arbolitos de Cajeme,$$,5.0,1,Monterrey,MX,25.6526586731346,-100.276569727454,['seafood']
Estación JC,$,3.5,6,Contry Sol,MX,25.6507747787187,-100.266070950659,['mexican']
Tacos el Güero,$$,4.0,5,Monterrey,MX,25.6906676052103,-100.250899940729,['tacos']
Las Aliadas,$$,4.0,8,Monterrey,MX,25.6425248893312,-100.27700616676,"['salad', 'burgers']"
Pan Benell,$$,4.0,4,San Pedro Garza García,MX,25.6509792,-100.3827055,['breakfast_brunch']
Mozzarella,$$,4.5,19,Monterrey,MX,25.650728,-100.373442,"['pizza', 'italian']"
El Agasajo,$$,4.5,8,San Pedro Garza García,MX,25.6548123682274,-100.385215353746,['seafood']
Yamasan Ramen House,$$,4.0,17,Zona Campestre,MX,25.6539848513722,-100.348308082952,['ramen']
La Torrada,$$$,4.5,13,San Pedro Garza García,MX,25.6500201711473,-100.331725010267,"['mexican', 'steak']"
Seis Chiles,$,2.5,9,Monterrey,MX,25.6655388354801,-100.407904340475,['mexican']
Rotonda 102,$$$,2.5,11,San Pedro Garza García,MX,25.6566991819514,-100.371247119959,['steak']
Club Industrial A. C.,$$$$,5.0,9,Nuevo León,MX,25.659844,-100.340967,"['restaurants', 'venues', 'catering']"
Bece,$$$$,4.0,4,San Pedro Garza García,MX,25.6584043907102,-100.360124048881,['seafood']
Piraña,$$,3.5,2,Monterrey,MX,25.6828002929688,-100.311637878418,['latin']
"El Siciliano, Italian Steak House",$$$,5.0,2,San Pedro Garza García,MX,25.6486495669395,-100.336086922025,"['italian', 'steak']"
Yokot´an,$$,4.0,4,San Pedro Garza Garcia,MX,25.658067,-100.368201,"['mexican', 'cafeteria']"
Seúl,$$,4.0,8,Monterrey,MX,25.658839776627,-100.36722304599,['korean']
Ahogaditas Tapatío,$,5.0,2,Monterrey,MX,25.681879,-100.3607864,['jaliscan']
Silvano's,$$$,4.5,14,San Pedro Garza García,MX,25.65162,-100.3678463,['italian']
Gyros,$,5.0,1,Monterrey,MX,25.7541809,-100.4070435,['tacos']
El Respiro,$$,4.0,5,Monterrey,MX,25.6861240381084,-100.375847965479,['mexican']
La Cocina de Mi Abuela,$,4.0,1,Monterrey,MX,25.7635207511153,-100.414160974324,"['diners', 'hotdogs', 'mexican']"
Buffalo Wild Wings,$$,4.5,2,Monterrey,MX,25.6972091016024,-100.353869845367,['chicken_wings']
Chef Oriental,$,4.5,2,Monterrey,MX,25.7170319014562,-100.38339768453,['chinese']
Tamales Salinas,$,4.5,10,Monterrey,MX,25.7771626,-100.3778305,['tamales']
El Castor,$$$,4.0,16,Monterrey,MX,25.6956485436057,-100.351632128024,['northernmexican']
El Zorritoz,$$,4.0,2,San Nicolás de Los Garza,MX,25.7377625,-100.302948,"['steak', 'mexican']"
Café Limón,$,4.5,15,Monterrey,MX,25.6404051,-100.27543,"['coffee', 'breakfast_brunch']"
The Nada Café,$$,3.5,31,Monterrey,MX,25.6981766100087,-100.365630364113,"['breakfast_brunch', 'coffee', 'juicebars']"
Le Bistro,$$$,4.5,14,San Pedro Garza García,MX,25.6452883693985,-100.355593009979,['bistros']
Sisu,$$$,5.0,1,San Pedro Garza García,MX,25.6598532376231,-100.416311569157,['panasian']
Taller Vegánico,$$,4.5,22,Tampiquito,MX,25.6506145802794,-100.382939509333,['vegan']
La Bottega d'Italia,$$,4.5,4,San Pedro Garza García,MX,25.6645252727388,-100.401484333455,"['pizza', 'italian']"
Las Naciones,$$,4.0,4,Monterrey,MX,25.6554241,-100.4098076,"['baguettes', 'delis', 'soup']"
Torino's Pizza,$,3.0,2,Balcones de Santa Catarina,MX,25.6741753,-100.4528427,['pizza']
Oriental Wok,$,4.0,1,Santa Catarina,MX,25.6768052253796,-100.44901996851,"['chinese', 'japanese', 'asianfusion']"
Pollo Raul,$$,4.0,1,Santa Catarina,MX,25.6813793,-100.4847946,"['rotisserie_chicken', 'mexican']"
Panem,$$,3.0,2,San Nicolás de los Garza,MX,25.7199115775892,-100.219016127212,"['bakeries', 'bistros']"
Little Caesars Pizza,$$,4.0,6,San Nicolás de Los Garza,MX,25.7236179312522,-100.226838178933,['pizza']
Tacos Santiago,$$,4.5,3,Guadalupe,MX,25.7068330560231,-100.230356901884,['tacos']
Madre Oaxaca,$$$,4.5,16,Monterrey,MX,25.6650115512914,-100.309002732574,['oaxacan']
Garufa,$$$,4.0,3,Monterrey,MX,25.7192383,-100.3518753,['argentine']
Denny's,$$,3.5,2,Apodaca  Nl,MX,25.7843443992706,-100.120306140234,"['diners', 'breakfast_brunch', 'tradamerican']"
Los Generales,$$,3.0,2,San Nicolás de los Garza,MX,25.7448972372538,-100.311847776175,['mexican']
P.F Chang's,$$$,3.0,6,Monterrey,MX,25.653397936131,-100.274892497842,['panasian']
Restaurante Safi Royal Luxury,$$$,5.0,1,Monterrey,MX,25.67958,-100.31878,['international']
Restaurante Rubio,$,4.0,7,Monterrey,MX,25.6828378657564,-100.281798653305,['mexican']
Abuela Victoria,$$,4.5,8,Monterrey,MX,25.666429,-100.314333,"['cafeteria', 'breakfast_brunch', 'creperies']"
Pollo Matón,$,4.0,1,San Nicolás de Los Garza,MX,25.7592602,-100.264389,['rotisserie_chicken']
Street Burger,$$,3.5,3,Monterrey,MX,25.7363091,-100.3999634,['burgers']
El Buey,$,3.5,5,San Nicolás de Los Garza,MX,25.7448448609407,-100.312207259686,['mexican']
Toks,$$,4.0,3,Monterrey,MX,25.7317586173648,-100.396322672186,"['cafeteria', 'breakfast_brunch']"
El Güero,$,3.5,8,Monterrey,MX,25.739868,-100.406661,['tacos']
Buongusto,$$,2.5,2,Monterrey,MX,25.7402496,-100.4076996,['italian']
Wing Stop,$$,3.0,2,Monterrey,MX,25.7422997497233,-100.411986855089,['chicken_wings']
Restaurante el Mirador,$$$,4.0,14,Monterrey,MX,25.667791,-100.332909,['restaurants']
Vegan Inc,$$,4.5,28,Monterrey,MX,25.635870585549,-100.313858162317,"['vegetarian', 'vegan']"
Hare Krishna Monterrey,$$,4.0,8,Monterrey,MX,25.665673199663,-100.307422462405,"['vegetarian', 'indpak']"
Olive Garden,$$$,3.5,3,San Pedro Garza García,MX,25.6497748785427,-100.32939394455,['italian']
San Carlos,$$$,4.0,13,Nuevo León,MX,25.6670154721219,-100.341523066163,['mexican']
Tortas Aguacatosas,$,4.0,10,Monterrey,MX,25.6702244376497,-100.327287923211,"['foodtrucks', 'sandwiches']"
El Rey del Taco,$$,4.5,4,Centro,MX,25.678123823582,-100.330987821826,['mexican']
Tierra Libre,$$,4.0,14,Monterrey,MX,25.668207,-100.306385,"['cafeteria', 'sandwiches']"
La Mora Rosa,$$,4.5,10,Monterrey,MX,25.6450711478888,-100.355723543164,"['coffee', 'desserts', 'cafeteria']"
Yama-to,$$,4.0,29,Nuevo León,MX,25.659542,-100.362645,['japanese']
La Felix,$$$,4.5,20,San Pedro Garza García,MX,25.6557101883438,-100.361210815609,"['bars', 'mexican']"
Wings,$$,2.5,21,Ciudad Apodaca,MX,25.778559,-100.113821,['mexican']
Chili's,$$,2.0,4,Apodaca,MX,25.7896763574732,-100.144626550752,"['bars', 'tex-mex']"
Tacos del Chavo,$,4.0,1,Monterrey,MX,25.6861382264377,-100.334450501009,['tacos']
Los Doraditos,$,5.0,1,Monterrey,MX,25.657568,-100.29406,"['tacos', 'northernmexican']"
Boquiaches,$,4.5,10,Monterrey,MX,25.6377857447909,-100.316224751767,['breakfast_brunch']
Tacos Mañaneros Cabañas,$,5.0,1,Monterrey,MX,25.6270301137593,-100.298841074109,"['breakfast_brunch', 'tacos']"
Los Bainas,$,5.0,1,Monterrey,MX,25.6268997,-100.2988586,['tacos']
Chorlitos,$$,5.0,1,Ampliación Valle del Mirador,MX,25.6409569,-100.3157959,['mexican']
Il Capriccio,$$$,5.0,12,San Pedro Garza García,MX,25.6484091148644,-100.36024850954,['italian']
El Reten,$,4.0,1,Monterrey,MX,25.624787,-100.29949,['burgers']
Sushi Factory,$$,4.5,3,Monterrey,MX,25.5771683014608,-100.245227453039,['sushi']
